B cells,naive B cells,non-switched memory B cells,class-switched memory B cells,T cells,CD4 T cells,Th cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,CD8 T cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,Treg cells,naive Treg cells,activated Treg cells,neutrophils,eosinophils,platelets,CD56+ NKT,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
0.001588382,0.00148662,0.00166113,0.002061856,0.001052026,0.00125,0.001110542,0.001395813,0.000887749,0.000903342,0.001260239,0.000905524,0.001070377,0.001106195,0.000879397,0.000785916,0.00149925,0,0.001898434,0.010885395,0.030682277,0.007708103,0.008727607,0.012421332,0.017647059,0.015384615,0.007347254,0.065715521,0.142857143,0.046800948,0,0.027355623,ASGPR1
0.104919562,0.121937639,0.060606061,0.100591716,0.06809883,0.064455204,0.064099059,0.061340465,0.063140932,0.071126388,0.058252427,0.069414317,0.078843885,0.068322981,0.067165194,0.063890396,0.065553494,0.055555556,0.068332683,0.999538067,0.019362187,0.036052161,0.003986049,0.042453712,0.026315789,0,0.00209468,0.110539846,0.112903226,0.040118871,0.129032258,0.011583012,CD10
0.452294106,0.19619666,0.494938133,0.709660574,0.233019886,0.094290955,0.098603953,0.048105348,0.048410531,0.187839305,0.647734139,0.403437325,0.082550742,0.067887931,0.436350975,0.721571632,0.060445119,0.089728453,0.052321779,0.997927741,0.991452991,0.195176609,0.854874283,0.263031161,0.988439306,0.970149254,0.9974122,0.999122807,1,0.841022001,0.310344828,0.600775194,CD11b
0.041726966,0.046698873,0.048275862,0.033715925,0.54863971,0.720677533,0.708121366,0.095580678,0.95717387,0.92262931,0.327586207,0.375927269,0.048559671,0.872641509,0.689179682,0.112373969,0.809362023,0.173469388,0.962219034,0.996664326,0.99783237,0.015550034,0.402094718,0.531583265,0.963855422,0.301886792,0.03061615,0.847076462,0.90625,0.192010309,0.108695652,0.674418605,CD45RO
0.997242257,0.997983871,0.998659517,0.995348837,0.977535464,0.990022787,0.989580055,0.999287749,0.999079472,0.969818294,0.879105521,0.9645723,0.999204455,0.99886148,0.966041108,0.92404759,0.992783791,0.998684211,0.991416309,0.997869284,0.99599359,0.972181487,0.990909091,0.996030314,1,0.953125,0.987909516,1,1,0.994886779,1,0.991304348,CD47
0.004118308,0.002246181,0.005841121,0.005151984,0.000669303,0.000837708,0.000725392,0.00026763,0.000551369,0.000383583,0.004093567,0.000509017,0.0004678,0.000956938,0.000687837,0.000221484,0.001591934,0.002547771,0.001363327,0.088674487,0.233532934,0.024761526,0.008017493,0.001368363,0.004078303,0,0.002039776,0.163943506,0.339506173,0.091062395,0.013888889,0.014332966,ArHam IgG isotype control
0.999581502,1,1,0.998578536,0.999015693,0.999668646,0.999642474,0.999365482,0.999754496,1,0.998037933,0.999626016,0.999852681,1,0.999632049,0.999426145,0.999801232,1,1,0.922427371,0.996316759,0.973472728,0.998405951,0.997630644,1,0.944444444,0.954545455,1,1,0.991390728,0.96350365,0.989904988,B2-microglobulin
0.002350483,0.00114482,0.007984032,0.000769231,0.00012535,0.000117146,0.000132638,0,0.000190512,0,0,0.000104707,0.000253485,0,0.000140252,0,0,0,0,0.003727083,0.054962647,0.001511479,0.001670379,0.001243781,0,0.020408163,0,0.051708218,0.16091954,0.03003413,0.013513514,0.007772021,B7-H4
0.017625028,0.015321757,0.023988006,0.018308081,0.016604299,0.015539126,0.014889351,0.015630427,0.015030745,0.014355875,0.013302487,0.017658152,0.018573868,0.014482759,0.018680252,0.01760831,0.021374046,0.023450586,0.020563595,0.874301945,0.71438427,0.059521288,0.038888889,0.090080429,0.415478615,0.1,0.032714412,0.670342655,0.789473684,0.153950954,0.02919708,0.158119658,BLTR-1
0.009001406,0.011494253,0.01039501,0.002727273,0.023653827,0.027794441,0.027812323,0.011885895,0.033764068,0.032005526,0.031869688,0.01865369,0.02757079,0.035650624,0.021320605,0.008826125,0.026011561,0.055696203,0.018248175,0.969622195,0.993103448,0.058200743,0.129000492,0.173671822,0.996389892,0.267857143,0.039892597,0.88105947,0.921052632,0.932950192,0.061538462,0.253521127,C3aR
0.034589253,0.053046595,0.030828516,0.018066847,0.014792575,0.017246395,0.017169199,0.01078516,0.024948025,0.009238452,0.005767844,0.011716341,0.030409992,0.025376685,0.006836828,0.003535568,0.017174083,0.011111111,0.018375242,0.272434175,0.263574064,0.133078343,0.071581961,0.115579481,0.375494071,0.093023256,0.039711191,0.278453039,0.454545455,0.207317073,0.178082192,0.17218543,C5L2
0.599537632,0.801938219,0.668174962,0.343390805,0.190726902,0.237182843,0.215408992,0.185349991,0.270773854,0.145702306,0.024699177,0.134169755,0.398980992,0.206131078,0.051201998,0.018907824,0.402839117,0.323795181,0.425714286,0.892660485,0.357976654,0.167309512,0.077894737,0.43559322,0.2625,0.425531915,0.112639725,0.721217105,0.925925926,0.519230769,0.657142857,0.666666667,CCR10
0.007068224,0.005128205,0.005905512,0.007758621,0.004053612,0.003882212,0.002943375,0.004501739,0.001866716,0.003483387,0.00414651,0.003831997,0.004074784,0.006225681,0.005042546,0.002095265,0.011498658,0,0.014430014,0.210662787,0.307161346,0.121178058,0.053061224,0.093588418,0.375,0.224489796,0.036316472,0.463672391,0.602409639,0.308260578,0.253333333,0.35,CCRL2
0.25698453,0.242222222,0.227086183,0.285714286,0.933655544,0.905472964,0.928474983,0.995709519,0.908409432,0.868783366,0.987532808,0.970517727,0.998025489,0.980184332,0.920418848,0.989531287,0.728803882,0.888268156,0.685745534,0.974555487,0.991735537,0.615999201,0.923745174,0.953206651,0.978723404,0.84,0.894711305,0.902527076,0.920634921,0.702229299,0.527777778,0.280851064,CD100
0.003840246,0.001201201,0.011111111,0.003594536,0.267382403,0.130266789,0.115932345,0.136094675,0.094196991,0.16530334,0.129859388,0.461881851,0.392375367,0.476704267,0.608624155,0.386698408,0.238890745,0.047477745,0.297546012,0.974389256,0.986259542,0.004774005,0.486486486,0.222132635,0.03,0.037037037,0.004225352,0.981104651,0.9375,0.887755102,0,0.769633508,CD101
0.947280799,0.959207459,0.932,0.948535936,0.64813484,0.644772874,0.641518895,0.478107206,0.693935694,0.687988178,0.754145638,0.672628263,0.498804146,0.77032967,0.691427784,0.745025915,0.675210406,0.586642599,0.700897308,0.312900561,0.966891478,0.887414653,0.869565217,0.744150364,0.945205479,0.739130435,0.893052303,0.9984375,1,0.974867725,0.952380952,0.968253968,CD102
0.016005567,0.008606778,0.02435312,0.019775873,0.036471872,0.02034573,0.016270024,0.006119043,0.016749699,0.02956752,0.004279601,0.061188458,0.012916862,0.257425743,0.097818234,0.011633247,0.051595384,0.023049645,0.059682267,0.014571209,0.091666667,0.016356162,0.02217484,0.054041427,0.005102041,0.09375,0.004682013,0.195290859,0.268292683,0.103404792,0.039215686,0.155477032,CD103
0.001946946,0.000555864,0.006134969,0.001464129,0.001092264,0.000715052,0.000676651,0.00020982,0.000863227,0.000877578,0.000692521,0.000615006,0.000540249,0.002171553,0.000582411,0.000178923,0.000369959,0,0.000476417,0.003494636,0.024962179,0.001430681,0.007549361,0.001997004,0.006024096,0.086206897,0.000745712,0.04028436,0.153846154,0.022151899,0,0.018315018,CD104
0.013607125,0.022136137,0.007233273,0.006033183,0.001049661,0.000903751,0.000871705,0.000498008,0.000860268,0.001017087,0.001441961,0.001276441,0.001392273,0.004587156,0.001257334,0.000803859,0.001277139,0.002475248,0.000529101,0.002376611,0.02209414,0.04478381,0.005687694,0.006193016,0,0,0.004608295,0.474025974,0.701298701,0.290843806,0.089285714,0.295031056,CD105
0.001269358,0.000541126,0.001828154,0.000834725,0.002084271,0.001712492,0.001497326,0.000525762,0.001972646,0.001083658,0.002492212,0.002677035,0.001973944,0.002932551,0.003017241,0.002310924,0.003411306,0.005,0.003136763,0.002910192,0.011400071,0.003854408,0.005902192,0.005266326,0.00625,0.036363636,0.00260223,0.020618557,0.067961165,0.019047619,0,0.018817204,CD106
