B cells,T cells,naive B cells,non-switched memory B cells,class-switched memory B cells,CD8 T cells,CD4 T cells,Th cells,Treg cells,naive Th cells,CM Th cells,EM Th cells,TEMRA Th cells,activated Treg cells,naive Treg cells,naive CD8 T cells,CM CD8 T cells,EM CD8 T cells,TEMRA CD8 T cells,platelets,CD56+ NKT,eosinophils,neutrophils,CD16+ NKT,basophils,CD56++ NK,CD16+CD56+ NK,CD14+ monocytes,CD14+CD16+ monocytes,CD16+ monocytes,pDC,mDC,target
137.02,186.82,118.75,2004.02,271.64,325.99,161.03,161.71,135.55,136.83,156.07,162.38,1825.83,135.55,0,221.09,106.26,393.05,1051.2,225.3,2204.89,438.83,377.91,344.73,315.78,156.55,1113.28,177.42,164.13,151.86,0,179.38,ASGPR1
183.4,158.07,177.28,195.28,192.45,162.61,152.55,153.19,146.16,149.4,155.56,152.42,150.51,151.33,128.86,147.53,157.03,174.92,169.09,103.79,170.01,441,4014.91,136.82,1166.94,0,234.65,217.31,202.04,141.18,288.93,133.06,CD10
299.13,221.45,181.34,261.53,378.08,237.62,166.7,170.65,139.22,128.16,139.06,198.25,219.78,146.96,124.81,136.93,157.38,240.91,250.79,118.21,433.01,5884.82,11925.32,136.83,1465.64,934.7,1571.41,9346.99,6421.09,510.22,178.67,248.32,CD11b
162.37,724.07,169.74,178.26,140.56,348.44,926.28,914.36,1032.45,180.06,1131.16,670.02,238.95,1092.34,209.6,151.26,596.97,386.41,169.28,106.32,471.64,1136.42,860.39,1457.78,1176.06,196.8,159.53,589.09,491.84,233.92,152.89,387.98,CD45RO
1350.51,1047.33,1363.97,1457.03,1255.97,866.12,1179.14,1188.23,1105.22,1041.8,1324.27,989.57,616.38,1138.67,1025.25,969.68,1170.37,822.52,668.01,873.43,918.38,2629.79,1158.96,1879.89,3084.34,1064.96,865.55,1755.3,1838.75,1390.98,1476.52,1234.1,CD47
158.57,151.49,142.74,140.3,168.87,140.25,159.61,157.27,184.08,246.51,114.75,182.18,189.61,156.54,184.08,147.93,154.99,135.03,138.72,102.54,117.62,514.56,242.77,111.56,150.91,0,129.59,182.28,202.26,166.13,142.78,153.35,ArHam IgG isotype control
24698.95,7480.42,14956.26,31510.49,39731.22,5946.54,8669.49,8399.13,10578.69,4624.64,10130.84,9956.47,5081.67,12050.85,6151.88,4701.52,9535.68,7357.92,4692.93,3084.06,7353.29,3244.46,1447.52,8288.05,7793.33,1567.96,1922.17,11325.93,13401.94,4645.87,1416.56,7643.64,B2-microglobulin
153.29,142.35,156.51,142.14,138.65,99.32,193.65,193.65,0,0,968.19,0,0,0,0,92.54,0,106.1,0,95.29,127.03,424.86,235.93,120.83,0,156.65,0,179.49,170.11,164.56,182.22,151.19,B7-H4
152.04,151.21,144.79,136.97,152.72,156.09,147.39,148.46,140.63,152.79,143,148.89,166.98,146.08,137.22,150.69,157.71,159.46,152.19,124.11,180.89,605.68,536.81,175.58,233.26,248.06,151.32,321.87,363.02,240.43,159.33,253.13,BLTR-1
126.81,123.96,120.23,130.5,169.84,123.14,123.74,123.86,120.09,118.13,122.53,129.07,144.57,115.23,122.17,115.71,116.82,130.77,125.03,99.91,150.92,2995.46,457.42,132.3,329.65,164.11,119.33,471.75,755.32,368.5,152.4,179.2,C3aR
